Age,1,2,3,4,5,6,7,8,9,10,11,12
50,0.0345,0.037,0.0395,0.042,0.0445,0.047,0.0495,0.052,0.0545,0.057,0.0595,0.062
51,0.0355,0.038,0.0405,0.043,0.0455,0.048,0.0505,0.053,0.0555,0.058,0.0605,0.063
52,0.0365,0.039,0.0415,0.044,0.0465,0.049,0.0515,0.054,0.0565,0.059,0.0615,0.064
53,0.0375,0.04,0.0425,0.045,0.0475,0.05,0.0525,0.055,0.0575,0.06,0.0625,0.065
54,0.0385,0.041,0.0435,0.046,0.0485,0.051,0.0535,0.056,0.0585,0.061,0.0635,0.066
55,0.04,0.043,0.046,0.049,0.052,0.055,0.058,0.061,0.064,0.067,0.07,0.073
56,0.041,0.044,0.047,0.05,0.053,0.056,0.059,0.062,0.065,0.068,0.071,0.074
57,0.042,0.045,0.048,0.051,0.054,0.057,0.06,0.063,0.066,0.069,0.072,0.075
58,0.043,0.046,0.049,0.052,0.055,0.058,0.061,0.064,0.067,0.07,0.073,0.076
59,0.044,0.047,0.05,0.053,0.056,0.059,0.062,0.065,0.068,0.071,0.074,0.077
60,0.0455,0.049,0.0525,0.056,0.0595,0.063,0.0665,0.07,0.0735,0.077,0.0805,0.084
61,0.0465,0.05,0.0535,0.057,0.0605,0.064,0.0675,0.071,0.0745,0.078,0.0815,0.085
62,0.0475,0.051,0.0545,0.058,0.0615,0.065,0.0685,0.072,0.0755,0.079,0.0825,0.086
63,0.0485,0.052,0.0555,0.059,0.0625,0.066,0.0695,0.073,0.0765,0.08,0.0835,0.087
64,0.0495,0.053,0.0565,0.06,0.0635,0.067,0.0705,0.074,0.0775,0.081,0.0845,0.088
65,0.051,0.055,0.059,0.063,0.067,0.071,0.075,0.079,0.083,0.087,0.091,0.095
66,0.052,0.056,0.06,0.064,0.068,0.072,0.076,0.08,0.084,0.088,0.092,0.096
67,0.053,0.057,0.061,0.065,0.069,0.073,0.077,0.081,0.085,0.089,0.093,0.097
68,0.054,0.058,0.062,0.066,0.07,0.074,0.078,0.082,0.086,0.09,0.094,0.098
69,0.055,0.059,0.063,0.067,0.071,0.075,0.079,0.083,0.087,0.091,0.095,0.099
70,0.0565,0.061,0.0655,0.07,0.0745,0.079,0.0835,0.088,0.0925,0.097,0.1015,0.106
71,0.0575,0.062,0.0665,0.071,0.0755,0.08,0.0845,0.089,0.0935,0.098,0.1025,0.107
72,0.0585,0.063,0.0675,0.072,0.0765,0.081,0.0855,0.09,0.0945,0.099,0.1035,0.108
73,0.0595,0.064,0.0685,0.073,0.0775,0.082,0.0865,0.091,0.0955,0.1,0.1045,0.109
74,0.0605,0.065,0.0695,0.074,0.0785,0.083,0.0875,0.092,0.0965,0.101,0.1055,0.11
75,0.062,0.067,0.072,0.077,0.082,0.087,0.092,0.097,0.102,0.107,0.112,0.117
76,0.063,0.068,0.073,0.078,0.083,0.088,0.093,0.098,0.103,0.108,0.113,0.118
77,0.064,0.069,0.074,0.079,0.084,0.089,0.094,0.099,0.104,0.109,0.114,0.119
78,0.065,0.07,0.075,0.08,0.085,0.09,0.095,0.1,0.105,0.11,0.115,0.12
79,0.066,0.071,0.076,0.081,0.086,0.091,0.096,0.101,0.106,0.111,0.116,0.121
80,0.0675,0.073,0.0785,0.084,0.0895,0.095,0.1005,0.106,0.1115,0.117,0.1225,0.128
