Age,1,2,3,4,5,6,7,8,9,10,11,12
50,0.0395,0.042,0.0445,0.047,0.0495,0.052,0.0545,0.057,0.0595,0.062,0.0645,0.067
51,0.0405,0.043,0.0455,0.048,0.0505,0.053,0.0555,0.058,0.0605,0.063,0.0655,0.068
52,0.0415,0.044,0.0465,0.049,0.0515,0.054,0.0565,0.059,0.0615,0.064,0.0665,0.069
53,0.0425,0.045,0.0475,0.05,0.0525,0.055,0.0575,0.06,0.0625,0.065,0.0675,0.07
54,0.0435,0.046,0.0485,0.051,0.0535,0.056,0.0585,0.061,0.0635,0.066,0.0685,0.071
55,0.045,0.048,0.051,0.054,0.057,0.06,0.063,0.066,0.069,0.072,0.075,0.078
56,0.046,0.049,0.052,0.055,0.058,0.061,0.064,0.067,0.07,0.073,0.076,0.079
57,0.047,0.05,0.053,0.056,0.059,0.062,0.065,0.068,0.071,0.074,0.077,0.08
58,0.048,0.051,0.054,0.057,0.06,0.063,0.066,0.069,0.072,0.075,0.078,0.081
59,0.049,0.052,0.055,0.058,0.061,0.064,0.067,0.07,0.073,0.076,0.079,0.082
60,0.0505,0.054,0.0575,0.061,0.0645,0.068,0.0715,0.075,0.0785,0.082,0.0855,0.089
61,0.0515,0.055,0.0585,0.062,0.0655,0.069,0.0725,0.076,0.0795,0.083,0.0865,0.09
62,0.0525,0.056,0.0595,0.063,0.0665,0.07,0.0735,0.077,0.0805,0.084,0.0875,0.091
63,0.0535,0.057,0.0605,0.064,0.0675,0.071,0.0745,0.078,0.0815,0.085,0.0885,0.092
64,0.0545,0.058,0.0615,0.065,0.0685,0.072,0.0755,0.079,0.0825,0.086,0.0895,0.093
65,0.056,0.06,0.064,0.068,0.072,0.076,0.08,0.084,0.088,0.092,0.096,0.1
66,0.057,0.061,0.065,0.069,0.073,0.077,0.081,0.085,0.089,0.093,0.097,0.101
67,0.058,0.062,0.066,0.07,0.074,0.078,0.082,0.086,0.09,0.094,0.098,0.102
68,0.059,0.063,0.067,0.071,0.075,0.079,0.083,0.087,0.091,0.095,0.099,0.103
69,0.06,0.064,0.068,0.072,0.076,0.08,0.084,0.088,0.092,0.096,0.1,0.104
70,0.0615,0.066,0.0705,0.075,0.0795,0.084,0.0885,0.093,0.0975,0.102,0.1065,0.111
71,0.0625,0.067,0.0715,0.076,0.0805,0.085,0.0895,0.094,0.0985,0.103,0.1075,0.112
72,0.0635,0.068,0.0725,0.077,0.0815,0.086,0.0905,0.095,0.0995,0.104,0.1085,0.113
73,0.0645,0.069,0.0735,0.078,0.0825,0.087,0.0915,0.096,0.1005,0.105,0.1095,0.114
74,0.0655,0.07,0.0745,0.079,0.0835,0.088,0.0925,0.097,0.1015,0.106,0.1105,0.115
75,0.067,0.072,0.077,0.082,0.087,0.092,0.097,0.102,0.107,0.112,0.117,0.122
76,0.068,0.073,0.078,0.083,0.088,0.093,0.098,0.103,0.108,0.113,0.118,0.123
77,0.069,0.074,0.079,0.084,0.089,0.094,0.099,0.104,0.109,0.114,0.119,0.124
78,0.07,0.075,0.08,0.085,0.09,0.095,0.1,0.105,0.11,0.115,0.12,0.125
79,0.071,0.076,0.081,0.086,0.091,0.096,0.101,0.106,0.111,0.116,0.121,0.126
80,0.0725,0.078,0.0835,0.089,0.0945,0.1,0.1055,0.111,0.1165,0.122,0.1275,0.133
