Age,0,1,2,3,4,5,6,7,8,9,10,11,12
50,,,,,,,,,,,0.0835,0.0835,0.0835
51,,,,,,,,,,0.084,0.0845,0.0845,0.0845
52,,,,,,,,,0.0815,0.0855,0.086,0.086,0.086
53,,,,,,,,0.0775,0.0825,0.0865,0.087,0.087,0.087
54,,,,,,,0.074,0.0785,0.084,0.088,0.0885,0.0885,0.0885
55,,,,,,0.071,0.076,0.0805,0.086,0.09,0.0905,0.0905,0.0905
56,,,,,0.0665,0.0725,0.0775,0.082,0.0875,0.0915,0.092,0.092,0.092
57,,,,0.064,0.068,0.0735,0.0785,0.0835,0.089,0.093,0.0935,0.0935,0.0935
58,,,0.0615,0.0655,0.0695,0.0755,0.081,0.086,0.0915,0.0955,0.096,0.096,0.096
59,,0.061,0.0625,0.0665,0.0705,0.077,0.0825,0.0875,0.093,0.097,0.0975,0.0975,0.0975
60,0.06,0.064,0.0655,0.0695,0.074,0.0805,0.086,0.091,0.0965,0.1005,0.101,0.101,0.101
61,0.061,0.065,0.0665,0.0705,0.0755,0.082,0.0875,0.0925,0.098,0.102,0.1025,0.1025,0.1025
62,0.062,0.066,0.0675,0.072,0.077,0.0835,0.089,0.094,0.0995,0.1035,0.104,0.104,0.104
63,0.063,0.0665,0.068,0.0725,0.0775,0.084,0.0895,0.0945,0.1,0.105,0.1055,0.1055,0.1055
64,0.064,0.067,0.0685,0.0735,0.0785,0.085,0.0905,0.096,0.1015,0.1075,0.108,0.108,0.108
65,0.065,0.068,0.0695,0.0745,0.08,0.087,0.0925,0.098,0.1035,0.1105,0.111,0.111,0.111
66,0.0655,0.0695,0.071,0.076,0.082,0.088,0.0935,0.0995,0.1055,0.1125,0.113,0.113,0.113
67,0.0665,0.0705,0.072,0.0775,0.0835,0.0895,0.0955,0.102,0.108,0.1155,0.116,0.116,0.116
68,0.0675,0.072,0.0735,0.079,0.085,0.0915,0.098,0.105,0.111,0.1195,0.12,0.12,0.12
69,0.0685,0.073,0.0745,0.0805,0.0865,0.0935,0.1005,0.1075,0.114,0.123,0.1235,0.1235,0.1235
70,0.0695,0.0735,0.075,0.0815,0.088,0.0965,0.1055,0.1125,0.12,0.1295,0.13,0.13,0.13
71,0.071,0.075,0.077,0.0835,0.09,0.099,0.108,0.116,0.1245,0.1345,0.135,0.135,0.135
72,0.0725,0.077,0.079,0.0855,0.093,0.102,0.1115,0.12,0.129,0.14,0.1405,0.1405,0.1405
73,0.073,0.0775,0.0795,0.086,0.0935,0.1025,0.113,0.1235,0.134,0.1455,0.146,0.146,0.146
74,0.0735,0.0775,0.0795,0.0865,0.094,0.104,0.1155,0.126,0.139,0.1515,0.152,0.152,0.152
75,0.0735,0.078,0.08,0.087,0.0955,0.1055,0.1185,0.129,0.1435,0.1575,0.158,0.158,0.158
76,0.074,0.0785,0.0805,0.0875,0.096,0.108,0.1225,0.134,0.15,0.165,0.1655,0.1655,0.1655
77,0.075,0.08,0.082,0.0905,0.099,0.112,0.127,0.1395,0.1565,0.1735,0.174,0.174,0.174
78,0.0765,0.082,0.084,0.093,0.102,0.116,0.132,0.145,0.1635,0.1815,0.182,0.182,0.182
79,0.0785,0.0845,0.0865,0.096,0.1055,0.1205,0.1375,0.1515,0.1715,0.191,0.1915,0.1915,0.1915
80,0.0805,0.087,0.089,0.099,0.109,0.1245,0.143,0.1575,0.1775,0.1985,0.199,0.199,0.199
