Age,0,1,2,3,4,5,6,7,8,9,10,11,12
50,,,,,,,,,,,0.0745,0.0745,0.0745
51,,,,,,,,,,0.075,0.0755,0.0755,0.0755
52,,,,,,,,,0.075,0.076,0.0765,0.0765,0.0765
53,,,,,,,,0.072,0.076,0.077,0.0775,0.0775,0.0775
54,,,,,,,0.0685,0.0725,0.077,0.0785,0.079,0.079,0.079
55,,,,,,0.0665,0.07,0.074,0.0785,0.08,0.0805,0.0805,0.0805
56,,,,,0.063,0.068,0.0715,0.0755,0.08,0.082,0.0825,0.0825,0.0825
57,,,,0.0605,0.064,0.069,0.073,0.0775,0.082,0.084,0.0845,0.0845,0.0845
58,,,0.0585,0.062,0.0655,0.071,0.075,0.0795,0.084,0.086,0.0865,0.0865,0.0865
59,,0.0575,0.0595,0.063,0.0665,0.072,0.0765,0.081,0.0855,0.0875,0.088,0.088,0.088
60,0.057,0.06,0.062,0.0655,0.0695,0.075,0.0795,0.084,0.0885,0.0905,0.091,0.091,0.091
61,0.0575,0.061,0.063,0.0665,0.071,0.0755,0.08,0.0845,0.089,0.091,0.0915,0.0915,0.0915
62,0.0585,0.062,0.064,0.068,0.0725,0.077,0.0815,0.086,0.0905,0.0925,0.093,0.093,0.093
63,0.059,0.0625,0.0645,0.0685,0.073,0.0775,0.082,0.0865,0.091,0.093,0.0935,0.0935,0.0935
64,0.06,0.0635,0.0655,0.07,0.0745,0.079,0.0835,0.088,0.0925,0.0945,0.095,0.095,0.095
65,0.061,0.0645,0.0665,0.071,0.0755,0.081,0.0855,0.0905,0.095,0.0975,0.098,0.098,0.098
66,0.062,0.066,0.068,0.0725,0.077,0.0825,0.0875,0.0925,0.097,0.1005,0.101,0.101,0.101
67,0.063,0.067,0.069,0.0735,0.0785,0.084,0.0895,0.0945,0.0995,0.103,0.1035,0.1035,0.1035
68,0.064,0.0685,0.0705,0.075,0.08,0.086,0.0915,0.097,0.102,0.106,0.1065,0.1065,0.1065
69,0.0655,0.07,0.072,0.0765,0.082,0.088,0.094,0.0995,0.105,0.1095,0.11,0.11,0.11
70,0.066,0.0705,0.0725,0.0775,0.0835,0.091,0.097,0.1025,0.1085,0.1135,0.114,0.114,0.114
71,0.0675,0.072,0.074,0.0795,0.0855,0.0935,0.0995,0.105,0.112,0.1175,0.118,0.118,0.118
72,0.069,0.074,0.076,0.0815,0.0875,0.096,0.102,0.1085,0.1155,0.1215,0.122,0.122,0.122
73,0.0695,0.0745,0.0765,0.082,0.088,0.0965,0.103,0.111,0.1195,0.126,0.1265,0.1265,0.1265
74,0.07,0.075,0.077,0.0825,0.0885,0.098,0.1055,0.1135,0.1235,0.131,0.1315,0.1315,0.1315
75,0.0705,0.0755,0.0775,0.0835,0.0905,0.1,0.108,0.1165,0.1285,0.1365,0.137,0.137,0.137
76,0.071,0.076,0.078,0.084,0.091,0.102,0.1115,0.1205,0.133,0.1425,0.143,0.143,0.143
77,0.072,0.0775,0.0795,0.086,0.0935,0.105,0.1155,0.125,0.1385,0.149,0.1495,0.1495,0.1495
78,0.0735,0.08,0.082,0.0885,0.096,0.1085,0.1195,0.13,0.1445,0.1555,0.156,0.156,0.156
79,0.0755,0.082,0.084,0.0915,0.099,0.1125,0.124,0.135,0.1505,0.163,0.1635,0.1635,0.1635
80,0.0775,0.0845,0.0865,0.0945,0.1025,0.1165,0.129,0.14,0.157,0.171,0.1715,0.1715,0.1715
