Age,0,1,2,3,4,5,6,7,8,9,10,11,12
50,,,,,,,,,,,0.087,0.087,0.087
51,,,,,,,,,,0.088,0.0885,0.0885,0.0885
52,,,,,,,,,0.085,0.0895,0.09,0.09,0.09
53,,,,,,,,0.081,0.0865,0.091,0.0915,0.0915,0.0915
54,,,,,,,0.077,0.082,0.088,0.0925,0.093,0.093,0.093
55,,,,,,0.074,0.079,0.084,0.09,0.0945,0.095,0.095,0.095
56,,,,,0.069,0.0755,0.081,0.086,0.092,0.0965,0.097,0.097,0.097
57,,,,0.0665,0.0705,0.0775,0.083,0.088,0.094,0.0985,0.099,0.099,0.099
58,,,0.064,0.068,0.0725,0.0795,0.085,0.09,0.096,0.1005,0.101,0.101,0.101
59,,0.0625,0.065,0.069,0.074,0.081,0.087,0.092,0.098,0.1025,0.103,0.103,0.103
60,0.062,0.066,0.0685,0.0725,0.0775,0.0845,0.0905,0.0955,0.1015,0.106,0.1065,0.1065,0.1065
61,0.063,0.067,0.0695,0.074,0.079,0.086,0.092,0.097,0.103,0.1075,0.108,0.108,0.108
62,0.064,0.068,0.0705,0.075,0.0805,0.0875,0.0935,0.0985,0.1045,0.1105,0.111,0.111,0.111
63,0.065,0.0685,0.071,0.076,0.0815,0.089,0.095,0.1005,0.1065,0.113,0.1135,0.1135,0.1135
64,0.066,0.0695,0.072,0.077,0.0825,0.09,0.0965,0.1025,0.1085,0.1155,0.116,0.116,0.116
65,0.067,0.0705,0.073,0.0785,0.0845,0.0925,0.099,0.105,0.111,0.119,0.1195,0.1195,0.1195
66,0.068,0.072,0.0745,0.0805,0.0865,0.0935,0.1005,0.107,0.1135,0.122,0.1225,0.1225,0.1225
67,0.069,0.073,0.0755,0.0815,0.088,0.0955,0.1025,0.1095,0.1165,0.1255,0.126,0.126,0.126
68,0.0695,0.074,0.0765,0.083,0.0895,0.0975,0.105,0.1125,0.12,0.1295,0.13,0.13,0.13
69,0.071,0.076,0.0785,0.085,0.092,0.1005,0.109,0.1165,0.125,0.135,0.1355,0.1355,0.1355
70,0.072,0.077,0.0795,0.0865,0.0935,0.1035,0.1135,0.1215,0.131,0.142,0.1425,0.1425,0.1425
71,0.0735,0.0785,0.081,0.088,0.096,0.1065,0.1165,0.1255,0.1355,0.1475,0.148,0.148,0.148
72,0.0755,0.081,0.0835,0.091,0.0995,0.1105,0.1215,0.1305,0.1415,0.1545,0.155,0.155,0.155
73,0.076,0.0815,0.084,0.0915,0.1,0.111,0.1235,0.135,0.1475,0.1615,0.162,0.162,0.162
74,0.0765,0.082,0.085,0.093,0.102,0.114,0.127,0.1385,0.154,0.1695,0.17,0.17,0.17
75,0.077,0.082,0.085,0.094,0.103,0.1155,0.13,0.142,0.1595,0.1765,0.177,0.177,0.177
76,0.0775,0.0825,0.0855,0.0945,0.1035,0.1185,0.135,0.148,0.167,0.186,0.1865,0.1865,0.1865
77,0.0785,0.085,0.088,0.0975,0.1075,0.123,0.1405,0.1545,0.1745,0.1955,0.196,0.196,0.196
78,0.08,0.087,0.0905,0.1005,0.111,0.1275,0.1465,0.161,0.181,0.202,0.2025,0.2025,0.2025
79,0.0825,0.0895,0.093,0.104,0.1145,0.1325,0.1525,0.168,0.188,0.209,0.2095,0.2095,0.2095
80,0.0845,0.092,0.0955,0.107,0.1185,0.1375,0.159,0.1755,0.1955,0.2165,0.217,0.217,0.217
