Age,1,2,3,4,5,6,7,8,9,10,11,12
50,0.0475,0.05,0.0525,0.055,0.0575,0.06,0.0625,0.065,0.0675,0.07,0.0725,0.075
51,0.0485,0.051,0.0535,0.056,0.0585,0.061,0.0635,0.066,0.0685,0.071,0.0735,0.076
52,0.0495,0.052,0.0545,0.057,0.0595,0.062,0.0645,0.067,0.0695,0.072,0.0745,0.077
53,0.0505,0.053,0.0555,0.058,0.0605,0.063,0.0655,0.068,0.0705,0.073,0.0755,0.078
54,0.0515,0.054,0.0565,0.059,0.0615,0.064,0.0665,0.069,0.0715,0.074,0.0765,0.079
55,0.053,0.056,0.059,0.062,0.065,0.068,0.071,0.074,0.077,0.08,0.083,0.086
56,0.054,0.057,0.06,0.063,0.066,0.069,0.072,0.075,0.078,0.081,0.084,0.087
57,0.055,0.058,0.061,0.064,0.067,0.07,0.073,0.076,0.079,0.082,0.085,0.088
58,0.056,0.059,0.062,0.065,0.068,0.071,0.074,0.077,0.08,0.083,0.086,0.089
59,0.057,0.06,0.063,0.066,0.069,0.072,0.075,0.078,0.081,0.084,0.087,0.09
60,0.0585,0.062,0.0655,0.069,0.0725,0.076,0.0795,0.083,0.0865,0.09,0.0935,0.097
61,0.0595,0.063,0.0665,0.07,0.0735,0.077,0.0805,0.084,0.0875,0.091,0.0945,0.098
62,0.0605,0.064,0.0675,0.071,0.0745,0.078,0.0815,0.085,0.0885,0.092,0.0955,0.099
63,0.0615,0.065,0.0685,0.072,0.0755,0.079,0.0825,0.086,0.0895,0.093,0.0965,0.1
64,0.0625,0.066,0.0695,0.073,0.0765,0.08,0.0835,0.087,0.0905,0.094,0.0975,0.101
65,0.064,0.068,0.072,0.076,0.08,0.084,0.088,0.092,0.096,0.1,0.104,0.108
66,0.065,0.069,0.073,0.077,0.081,0.085,0.089,0.093,0.097,0.101,0.105,0.109
67,0.066,0.07,0.074,0.078,0.082,0.086,0.09,0.094,0.098,0.102,0.106,0.11
68,0.067,0.071,0.075,0.079,0.083,0.087,0.091,0.095,0.099,0.103,0.107,0.111
69,0.068,0.072,0.076,0.08,0.084,0.088,0.092,0.096,0.1,0.104,0.108,0.112
70,0.0695,0.074,0.0785,0.083,0.0875,0.092,0.0965,0.101,0.1055,0.11,0.1145,0.119
71,0.0705,0.075,0.0795,0.084,0.0885,0.093,0.0975,0.102,0.1065,0.111,0.1155,0.12
72,0.0715,0.076,0.0805,0.085,0.0895,0.094,0.0985,0.103,0.1075,0.112,0.1165,0.121
73,0.0725,0.077,0.0815,0.086,0.0905,0.095,0.0995,0.104,0.1085,0.113,0.1175,0.122
74,0.0735,0.078,0.0825,0.087,0.0915,0.096,0.1005,0.105,0.1095,0.114,0.1185,0.123
75,0.075,0.08,0.085,0.09,0.095,0.1,0.105,0.11,0.115,0.12,0.125,0.13
76,0.076,0.081,0.086,0.091,0.096,0.101,0.106,0.111,0.116,0.121,0.126,0.131
77,0.077,0.082,0.087,0.092,0.097,0.102,0.107,0.112,0.117,0.122,0.127,0.132
78,0.078,0.083,0.088,0.093,0.098,0.103,0.108,0.113,0.118,0.123,0.128,0.133
79,0.079,0.084,0.089,0.094,0.099,0.104,0.109,0.114,0.119,0.124,0.129,0.134
80,0.0805,0.086,0.0915,0.097,0.1025,0.108,0.1135,0.119,0.1245,0.13,0.1355,0.141
